timestamp,user_id,hour,minute,day_of_week,is_weekend,temperature,humidity,device,action,value,light_state,fan_state,ac_state,hour_sin,hour_cos,dow_sin,dow_cos,device_id,user_num,action_binary
2025-01-01 06:55:00,dad,6,21,2,0,25.2,67.2,living_room_light,on,80,0,0,0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0,0,1
2025-01-01 06:17:00,mom,6,37,2,0,25.2,67.2,living_room_light,on,79,1,0,0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0,1,1
2025-01-01 07:52:00,mom,7,22,2,0,26.7,68.3,kitchen_light,on,90,1,0,0,0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,2,1,1
2025-01-01 07:16:00,son,7,39,2,0,26.7,68.3,kitchen_light,on,90,1,0,0,0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,2,2,1
2025-01-01 07:40:00,daughter,7,53,2,0,26.7,68.3,kitchen_light,on,86,1,0,0,0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,2,3,1
2025-01-01 08:27:00,mom,8,11,2,0,28.6,66.3,fan,on,0,1,0,0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,3,1,1
2025-01-01 11:25:00,mom,11,14,2,0,31.7,50.4,fan,on,3,1,1,0,0.258819045102521,-0.9659258262890682,0.9749279121818236,-0.22252093395631434,3,1,1
2025-01-01 11:20:00,son,11,10,2,0,31.7,50.4,fan,on,8,1,1,0,0.258819045102521,-0.9659258262890682,0.9749279121818236,-0.22252093395631434,3,2,1
2025-01-01 12:31:00,dad,12,26,2,0,28.9,57.2,fan,on,6,1,1,0,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,3,0,1
2025-01-01 13:21:00,son,13,14,2,0,29.0,58.5,fan,on,6,1,1,0,-0.2588190451025208,-0.9659258262890683,0.9749279121818236,-0.22252093395631434,3,2,1
2025-01-01 14:54:00,son,14,34,2,0,30.8,58.5,fan,on,7,1,1,0,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,3,2,1
2025-01-01 14:55:00,daughter,14,2,2,0,30.8,58.5,fan,on,3,1,1,0,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,3,3,1
2025-01-01 16:36:00,dad,16,38,2,0,28.4,62.0,fan,on,5,1,1,0,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,3,0,1
2025-01-01 16:29:00,son,16,59,2,0,28.4,62.0,fan,on,2,1,1,0,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,3,2,1
2025-01-01 16:50:00,daughter,16,34,2,0,28.4,62.0,fan,on,3,1,1,0,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,3,3,1
2025-01-01 17:08:00,mom,17,56,2,0,28.0,65.4,fan,on,0,1,1,0,-0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,3,1,1
2025-01-01 18:19:00,dad,18,17,2,0,26.3,64.3,living_room_light,on,62,1,1,0,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,0,0,1
2025-01-01 18:58:00,daughter,18,13,2,0,26.3,64.3,living_room_light,on,55,1,1,0,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,0,3,1
2025-01-01 19:28:00,dad,19,10,2,0,24.8,73.7,living_room_light,on,60,1,1,0,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.22252093395631434,0,0,1
2025-01-01 19:01:00,mom,19,12,2,0,24.8,73.7,kitchen_light,on,95,1,1,0,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.22252093395631434,2,1,1
2025-01-01 19:30:00,son,19,13,2,0,24.8,73.7,kitchen_light,on,91,1,1,0,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.22252093395631434,2,2,1
2025-01-01 19:25:00,daughter,19,18,2,0,24.8,73.7,living_room_light,on,51,1,1,0,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.22252093395631434,0,3,1
2025-01-01 20:06:00,dad,20,31,2,0,24.3,71.8,living_room_light,on,62,1,1,0,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0,0,1
2025-01-01 20:51:00,mom,20,22,2,0,24.3,71.8,living_room_light,on,54,1,1,0,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0,1,1
2025-01-01 20:37:00,son,20,29,2,0,24.3,71.8,living_room_light,on,91,1,1,0,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0,2,1
2025-01-01 21:36:00,dad,21,39,2,0,25.8,77.0,living_room_light,on,62,1,1,0,-0.7071067811865477,0.7071067811865474,0.9749279121818236,-0.22252093395631434,0,0,1
2025-01-01 21:51:00,mom,21,8,2,0,25.8,77.0,living_room_light,on,56,1,1,0,-0.7071067811865477,0.7071067811865474,0.9749279121818236,-0.22252093395631434,0,1,1
2025-01-01 21:33:00,daughter,21,30,2,0,25.8,77.0,living_room_light,on,47,1,1,0,-0.7071067811865477,0.7071067811865474,0.9749279121818236,-0.22252093395631434,0,3,1
2025-01-01 22:43:00,mom,22,10,2,0,23.0,93.0,ac,off,0,1,1,0,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434,4,1,0
2025-01-01 22:35:00,daughter,22,16,2,0,23.0,93.0,ac,off,0,1,1,0,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434,4,3,0
2025-01-01 23:25:00,son,23,11,2,0,25.5,70.5,bedroom_light,on,24,1,1,0,-0.25881904510252157,0.9659258262890681,0.9749279121818236,-0.22252093395631434,1,2,1
2025-01-02 06:21:00,dad,6,42,3,0,26.8,63.7,living_room_light,on,81,0,0,0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0,0,1
2025-01-02 06:32:00,mom,6,56,3,0,26.8,63.7,living_room_light,on,70,1,0,0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0,1,1
2025-01-02 07:14:00,dad,7,37,3,0,26.6,70.6,living_room_light,on,78,1,0,0,0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,0,0,1
2025-01-02 07:29:00,mom,7,40,3,0,26.6,70.6,kitchen_light,on,90,1,0,0,0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,2,1,1
2025-01-02 07:59:00,son,7,51,3,0,26.6,70.6,kitchen_light,on,84,1,0,0,0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,2,2,1
2025-01-02 07:01:00,daughter,7,51,3,0,26.6,70.6,kitchen_light,on,94,1,0,0,0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,2,3,1
2025-01-02 10:20:00,dad,10,11,3,0,30.3,56.1,fan,on,4,1,0,0,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,3,0,1
2025-01-02 10:40:00,son,10,35,3,0,30.3,56.1,fan,on,15,1,1,0,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,3,2,1
